cm^(-1),4,4_2,122,27,27_2
6920.75834,0.06048,0.09447,0.0617,0.16571,0.14416
6920.27616,0.06012,0.09583,0.06247,0.16724,0.14706
6919.79398,0.06072,0.09796,0.06293,0.16909,0.1493
6919.3118,0.06228,0.10065,0.06313,0.17134,0.15056
6918.82962,0.06443,0.10345,0.06345,0.17381,0.15082
6918.34743,0.06659,0.1058,0.06427,0.176,0.15034
6917.86525,0.0683,0.10738,0.06565,0.17745,0.14955
6917.38307,0.06948,0.10827,0.06733,0.17806,0.14885
6916.90089,0.07034,0.10888,0.06896,0.17816,0.14844
6916.41871,0.07116,0.10951,0.07026,0.17814,0.14826
6915.93652,0.07189,0.11012,0.07102,0.17818,0.1481
6915.45434,0.0723,0.11038,0.07109,0.17815,0.14798
6914.97216,0.07223,0.10997,0.07043,0.17797,0.14808
6914.48998,0.07199,0.10888,0.06928,0.17783,0.14861
6914.0078,0.07219,0.1074,0.06818,0.1781,0.14947
6913.52561,0.07332,0.10591,0.06767,0.17893,0.15023
6913.04343,0.07525,0.1047,0.06798,0.18011,0.15051
6912.56125,0.07731,0.10398,0.06891,0.18117,0.15039
6912.07907,0.07874,0.10384,0.0701,0.18178,0.15041
6911.59689,0.07922,0.10428,0.07134,0.18197,0.1511
6911.1147,0.07895,0.10514,0.07259,0.1819,0.15249
6910.63252,0.07827,0.10621,0.07384,0.18165,0.15412
6910.15034,0.07736,0.10732,0.07498,0.18116,0.15546
6909.66816,0.07614,0.10842,0.07585,0.18036,0.15631
6909.18598,0.07455,0.1095,0.07634,0.17934,0.15677
6908.70379,0.07276,0.1104,0.07649,0.17835,0.15688
6908.22161,0.07117,0.11083,0.07632,0.17762,0.15648
6907.73943,0.07024,0.11056,0.07588,0.17728,0.1554
6907.25725,0.07021,0.10964,0.07528,0.17733,0.15387
6906.77507,0.07101,0.10834,0.07473,0.17767,0.15249
6906.29288,0.07222,0.10694,0.07435,0.17811,0.15183
6905.8107,0.07327,0.10562,0.07408,0.17835,0.15201
6905.32852,0.07371,0.10447,0.07365,0.17823,0.15268
6904.84634,0.07351,0.1037,0.07289,0.17782,0.15331
